Image				Compared with		Change Score		Contours		Status
c23-1616718142215.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616718484220.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616718826339.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616719168338.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616719510303.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616719852540.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616720194661.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616720536782.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616720878862.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616721220750.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616721562630.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616721904590.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616722246353.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616722588271.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616722930192.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616723272395.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616723614358.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616723956442.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616724298401.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616724640167.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616724982163.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616725324407.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616725666568.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616726008613.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616726350617.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616726692892.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616727034897.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616727376939.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616727718940.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616728060897.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616728402777.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616728744700.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616729086908.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616729428783.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616729770785.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616730112747.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616730454791.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616730796952.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616731138911.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616731481074.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616731822998.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616732164959.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616732506920.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616732849039.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616733190960.png         c23-1616704118786.png         0.0                 0              Current Image removed
c23-1616733532844.png         c23-1616704118786.png         605.0               1              Current Image Retained
c23-1616733875084.png         c23-1616733532844.png         590.5               1              Current Image Retained
c23-1616734217166.png         c23-1616733875084.png         6382.5              5              Current Image Retained
c23-1616734559178.png         c23-1616734217166.png         12361.5             6              Current Image Retained
c23-1616734901659.png         c23-1616734559178.png         538.0               1              Current Image Retained
c23-1616735243692.png         c23-1616734901659.png         111016.5            8              Current Image Retained
c23-1616735585939.png         c23-1616735243692.png         0.0                 0              Current Image removed
c23-1616735928256.png         c23-1616735243692.png         0.0                 0              Current Image removed
c23-1616736270779.png         c23-1616735243692.png         5500.0              3              Current Image Retained
c23-1616736613222.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616736955821.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616737298425.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616737641105.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616737983906.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616738326593.png         c23-1616736270779.png         0.0                 0              Current Image removed
c23-1616738669318.png         c23-1616736270779.png         1097.0              1              Current Image Retained
c23-1616739011999.png         c23-1616738669318.png         17791.5             3              Current Image Retained
c23-1616739354639.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616739697123.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616740039804.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616740382406.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616740725376.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616741068364.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616741411009.png         c23-1616739011999.png         0.0                 0              Current Image removed
c23-1616741753772.png         c23-1616739011999.png         1502.0              2              Current Image Retained
c23-1616742096570.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616742439331.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616742781936.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616743124616.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616743467373.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616743809978.png         c23-1616741753772.png         0.0                 0              Current Image removed
c23-1616744152499.png         c23-1616741753772.png         0.0                 0              Current Image removed
